filename,width,height,class,label,interval,left,right,source
0000.jpg,432,288,N,1,293,77,370,MIT_BIH_ECG
0001.jpg,432,288,N,1,292,370,662,MIT_BIH_ECG
0002.jpg,432,288,N,1,284,662,946,MIT_BIH_ECG
0003.jpg,432,288,N,1,285,946,1231,MIT_BIH_ECG
0004.jpg,432,288,N,1,284,1231,1515,MIT_BIH_ECG
0005.jpg,432,288,N,1,294,1515,1809,MIT_BIH_ECG
0006.jpg,432,288,N,1,235,1809,2044,MIT_BIH_ECG
0007.jpg,432,288,A_A,0,358,2044,2402,MIT_BIH_ECG
0008.jpg,432,288,N,1,304,2402,2706,MIT_BIH_ECG
0009.jpg,432,288,N,1,292,2706,2998,MIT_BIH_ECG
0010.jpg,432,288,N,1,284,2998,3282,MIT_BIH_ECG
0011.jpg,432,288,N,1,278,3282,3560,MIT_BIH_ECG
0012.jpg,432,288,N,1,302,3560,3862,MIT_BIH_ECG
0013.jpg,432,288,N,1,308,3862,4170,MIT_BIH_ECG
0014.jpg,432,288,N,1,296,4170,4466,MIT_BIH_ECG
0015.jpg,432,288,N,1,298,4466,4764,MIT_BIH_ECG
0016.jpg,432,288,N,1,296,4764,5060,MIT_BIH_ECG
0017.jpg,432,288,N,1,286,5060,5346,MIT_BIH_ECG
0018.jpg,432,288,N,1,287,5346,5633,MIT_BIH_ECG
0019.jpg,432,288,N,1,285,5633,5918,MIT_BIH_ECG
0020.jpg,432,288,N,1,296,5918,6214,MIT_BIH_ECG
0021.jpg,432,288,N,1,313,6214,6527,MIT_BIH_ECG
0022.jpg,432,288,N,1,296,6527,6823,MIT_BIH_ECG
0023.jpg,432,288,N,1,283,6823,7106,MIT_BIH_ECG
0024.jpg,432,288,N,1,285,7106,7391,MIT_BIH_ECG
0025.jpg,432,288,N,1,279,7391,7670,MIT_BIH_ECG
0026.jpg,432,288,N,1,283,7670,7953,MIT_BIH_ECG
0027.jpg,432,288,N,1,292,7953,8245,MIT_BIH_ECG
0028.jpg,432,288,N,1,294,8245,8539,MIT_BIH_ECG
0029.jpg,432,288,N,1,298,8539,8837,MIT_BIH_ECG
0030.jpg,432,288,N,1,304,8837,9141,MIT_BIH_ECG
0031.jpg,432,288,N,1,290,9141,9431,MIT_BIH_ECG
0032.jpg,432,288,N,1,279,9431,9710,MIT_BIH_ECG
0033.jpg,432,288,N,1,288,9710,9998,MIT_BIH_ECG
0034.jpg,432,288,N,1,284,9998,10282,MIT_BIH_ECG
0035.jpg,432,288,N,1,309,10282,10591,MIT_BIH_ECG
0036.jpg,432,288,N,1,303,10591,10894,MIT_BIH_ECG
0037.jpg,432,288,N,1,297,10894,11191,MIT_BIH_ECG
0038.jpg,432,288,N,1,289,11191,11480,MIT_BIH_ECG
0039.jpg,432,288,N,1,301,11480,11781,MIT_BIH_ECG
0040.jpg,432,288,N,1,285,11781,12066,MIT_BIH_ECG
0041.jpg,432,288,N,1,284,12066,12350,MIT_BIH_ECG
0042.jpg,432,288,N,1,295,12350,12645,MIT_BIH_ECG
0043.jpg,432,288,N,1,304,12645,12949,MIT_BIH_ECG
0044.jpg,432,288,N,1,317,12949,13266,MIT_BIH_ECG
0045.jpg,432,288,N,1,296,13266,13562,MIT_BIH_ECG
0046.jpg,432,288,N,1,280,13562,13842,MIT_BIH_ECG
0047.jpg,432,288,N,1,289,13842,14131,MIT_BIH_ECG
0048.jpg,432,288,N,1,292,14131,14423,MIT_BIH_ECG
0049.jpg,432,288,N,1,287,14423,14710,MIT_BIH_ECG
0050.jpg,432,288,N,1,301,14710,15011,MIT_BIH_ECG
0051.jpg,432,288,N,1,299,15011,15310,MIT_BIH_ECG
0052.jpg,432,288,N,1,297,15310,15607,MIT_BIH_ECG
0053.jpg,432,288,N,1,292,15607,15899,MIT_BIH_ECG
0054.jpg,432,288,N,1,284,15899,16183,MIT_BIH_ECG
0055.jpg,432,288,N,1,281,16183,16464,MIT_BIH_ECG
0056.jpg,432,288,N,1,291,16464,16755,MIT_BIH_ECG
0057.jpg,432,288,N,1,303,16755,17058,MIT_BIH_ECG
0058.jpg,432,288,N,1,300,17058,17358,MIT_BIH_ECG
0059.jpg,432,288,N,1,299,17358,17657,MIT_BIH_ECG
0060.jpg,432,288,N,1,290,17657,17947,MIT_BIH_ECG
0061.jpg,432,288,N,1,280,17947,18227,MIT_BIH_ECG
0062.jpg,432,288,N,1,287,18227,18514,MIT_BIH_ECG
0063.jpg,432,288,N,1,281,18514,18795,MIT_BIH_ECG
0064.jpg,432,288,N,1,285,18795,19080,MIT_BIH_ECG
0065.jpg,432,288,N,1,308,19080,19388,MIT_BIH_ECG
0066.jpg,432,288,N,1,305,19388,19693,MIT_BIH_ECG
0067.jpg,432,288,N,1,296,19693,19989,MIT_BIH_ECG
0068.jpg,432,288,N,1,282,19989,20271,MIT_BIH_ECG
0069.jpg,432,288,N,1,283,20271,20554,MIT_BIH_ECG
0070.jpg,432,288,N,1,283,20554,20837,MIT_BIH_ECG
0071.jpg,432,288,N,1,294,20837,21131,MIT_BIH_ECG
0072.jpg,432,288,N,1,292,21131,21423,MIT_BIH_ECG
0073.jpg,432,288,N,1,306,21423,21729,MIT_BIH_ECG
0074.jpg,432,288,N,1,300,21729,22029,MIT_BIH_ECG
0075.jpg,432,288,N,1,292,22029,22321,MIT_BIH_ECG
0076.jpg,432,288,N,1,282,22321,22603,MIT_BIH_ECG
0077.jpg,432,288,N,1,278,22603,22881,MIT_BIH_ECG
0078.jpg,432,288,N,1,283,22881,23164,MIT_BIH_ECG
0079.jpg,432,288,N,1,289,23164,23453,MIT_BIH_ECG
0080.jpg,432,288,N,1,303,23453,23756,MIT_BIH_ECG
0081.jpg,432,288,N,1,297,23756,24053,MIT_BIH_ECG
0082.jpg,432,288,N,1,292,24053,24345,MIT_BIH_ECG
0083.jpg,432,288,N,1,280,24345,24625,MIT_BIH_ECG
0084.jpg,432,288,N,1,288,24625,24913,MIT_BIH_ECG
0085.jpg,432,288,N,1,284,24913,25197,MIT_BIH_ECG
0086.jpg,432,288,N,1,288,25197,25485,MIT_BIH_ECG
0087.jpg,432,288,N,1,294,25485,25779,MIT_BIH_ECG
0088.jpg,432,288,N,1,309,25779,26088,MIT_BIH_ECG
0089.jpg,432,288,N,1,299,26088,26387,MIT_BIH_ECG
0090.jpg,432,288,N,1,283,26387,26670,MIT_BIH_ECG
0091.jpg,432,288,N,1,282,26670,26952,MIT_BIH_ECG
0092.jpg,432,288,N,1,285,26952,27237,MIT_BIH_ECG
0093.jpg,432,288,N,1,299,27237,27536,MIT_BIH_ECG
0094.jpg,432,288,N,1,297,27536,27833,MIT_BIH_ECG
0095.jpg,432,288,N,1,299,27833,28132,MIT_BIH_ECG
0096.jpg,432,288,N,1,299,28132,28431,MIT_BIH_ECG
0097.jpg,432,288,N,1,296,28431,28727,MIT_BIH_ECG
0098.jpg,432,288,N,1,287,28727,29014,MIT_BIH_ECG
0099.jpg,432,288,N,1,280,29014,29294,MIT_BIH_ECG
0100.jpg,432,288,N,1,286,29294,29580,MIT_BIH_ECG
0101.jpg,432,288,N,1,293,29580,29873,MIT_BIH_ECG
0102.jpg,432,288,N,1,309,29873,30182,MIT_BIH_ECG
0103.jpg,432,288,N,1,305,30182,30487,MIT_BIH_ECG
0104.jpg,432,288,N,1,292,30487,30779,MIT_BIH_ECG
0105.jpg,432,288,N,1,286,30779,31065,MIT_BIH_ECG
0106.jpg,432,288,N,1,283,31065,31348,MIT_BIH_ECG
0107.jpg,432,288,N,1,287,31348,31635,MIT_BIH_ECG
0108.jpg,432,288,N,1,292,31635,31927,MIT_BIH_ECG
0109.jpg,432,288,N,1,297,31927,32224,MIT_BIH_ECG
0110.jpg,432,288,N,1,305,32224,32529,MIT_BIH_ECG
0111.jpg,432,288,N,1,307,32529,32836,MIT_BIH_ECG
0112.jpg,432,288,N,1,291,32836,33127,MIT_BIH_ECG
0113.jpg,432,288,N,1,276,33127,33403,MIT_BIH_ECG
0114.jpg,432,288,N,1,288,33403,33691,MIT_BIH_ECG
0115.jpg,432,288,N,1,289,33691,33980,MIT_BIH_ECG
0116.jpg,432,288,N,1,294,33980,34274,MIT_BIH_ECG
0117.jpg,432,288,N,1,301,34274,34575,MIT_BIH_ECG
0118.jpg,432,288,N,1,295,34575,34870,MIT_BIH_ECG
0119.jpg,432,288,N,1,298,34870,35168,MIT_BIH_ECG
0120.jpg,432,288,N,1,287,35168,35455,MIT_BIH_ECG
0121.jpg,432,288,N,1,281,35455,35736,MIT_BIH_ECG
0122.jpg,432,288,N,1,280,35736,36016,MIT_BIH_ECG
0123.jpg,432,288,N,1,293,36016,36309,MIT_BIH_ECG
0124.jpg,432,288,N,1,296,36309,36605,MIT_BIH_ECG
0125.jpg,432,288,N,1,311,36605,36916,MIT_BIH_ECG
0126.jpg,432,288,N,1,299,36916,37215,MIT_BIH_ECG
0127.jpg,432,288,N,1,284,37215,37499,MIT_BIH_ECG
0128.jpg,432,288,N,1,283,37499,37782,MIT_BIH_ECG
0129.jpg,432,288,N,1,289,37782,38071,MIT_BIH_ECG
0130.jpg,432,288,N,1,285,38071,38356,MIT_BIH_ECG
0131.jpg,432,288,N,1,295,38356,38651,MIT_BIH_ECG
0132.jpg,432,288,N,1,299,38651,38950,MIT_BIH_ECG
0133.jpg,432,288,N,1,302,38950,39252,MIT_BIH_ECG
0134.jpg,432,288,N,1,295,39252,39547,MIT_BIH_ECG
0135.jpg,432,288,N,1,278,39547,39825,MIT_BIH_ECG
0136.jpg,432,288,N,1,271,39825,40096,MIT_BIH_ECG
0137.jpg,432,288,N,1,286,40096,40382,MIT_BIH_ECG
0138.jpg,432,288,N,1,295,40382,40677,MIT_BIH_ECG
0139.jpg,432,288,N,1,293,40677,40970,MIT_BIH_ECG
0140.jpg,432,288,N,1,301,40970,41271,MIT_BIH_ECG
0141.jpg,432,288,N,1,296,41271,41567,MIT_BIH_ECG
0142.jpg,432,288,N,1,282,41567,41849,MIT_BIH_ECG
0143.jpg,432,288,N,1,268,41849,42117,MIT_BIH_ECG
0144.jpg,432,288,N,1,299,42117,42416,MIT_BIH_ECG
0145.jpg,432,288,N,1,281,42416,42697,MIT_BIH_ECG
0146.jpg,432,288,N,1,299,42697,42996,MIT_BIH_ECG
0147.jpg,432,288,N,1,311,42996,43307,MIT_BIH_ECG
0148.jpg,432,288,N,1,296,43307,43603,MIT_BIH_ECG
0149.jpg,432,288,N,1,289,43603,43892,MIT_BIH_ECG
0150.jpg,432,288,N,1,280,43892,44172,MIT_BIH_ECG
0151.jpg,432,288,N,1,283,44172,44455,MIT_BIH_ECG
0152.jpg,432,288,N,1,288,44455,44743,MIT_BIH_ECG
0153.jpg,432,288,N,1,287,44743,45030,MIT_BIH_ECG
0154.jpg,432,288,N,1,293,45030,45323,MIT_BIH_ECG
0155.jpg,432,288,N,1,305,45323,45628,MIT_BIH_ECG
0156.jpg,432,288,N,1,297,45628,45925,MIT_BIH_ECG
0157.jpg,432,288,N,1,279,45925,46204,MIT_BIH_ECG
0158.jpg,432,288,N,1,274,46204,46478,MIT_BIH_ECG
0159.jpg,432,288,N,1,281,46478,46759,MIT_BIH_ECG
0160.jpg,432,288,N,1,278,46759,47037,MIT_BIH_ECG
0161.jpg,432,288,N,1,297,47037,47334,MIT_BIH_ECG
0162.jpg,432,288,N,1,298,47334,47632,MIT_BIH_ECG
0163.jpg,432,288,N,1,287,47632,47919,MIT_BIH_ECG
0164.jpg,432,288,N,1,283,47919,48202,MIT_BIH_ECG
0165.jpg,432,288,N,1,284,48202,48486,MIT_BIH_ECG
0166.jpg,432,288,N,1,280,48486,48766,MIT_BIH_ECG
0167.jpg,432,288,N,1,274,48766,49040,MIT_BIH_ECG
0168.jpg,432,288,N,1,283,49040,49323,MIT_BIH_ECG
0169.jpg,432,288,N,1,295,49323,49618,MIT_BIH_ECG
0170.jpg,432,288,N,1,305,49618,49923,MIT_BIH_ECG
0171.jpg,432,288,N,1,291,49923,50214,MIT_BIH_ECG
0172.jpg,432,288,N,1,277,50214,50491,MIT_BIH_ECG
0173.jpg,432,288,N,1,280,50491,50771,MIT_BIH_ECG
0174.jpg,432,288,N,1,285,50771,51056,MIT_BIH_ECG
0175.jpg,432,288,N,1,283,51056,51339,MIT_BIH_ECG
0176.jpg,432,288,N,1,287,51339,51626,MIT_BIH_ECG
0177.jpg,432,288,N,1,295,51626,51921,MIT_BIH_ECG
0178.jpg,432,288,N,1,295,51921,52216,MIT_BIH_ECG
0179.jpg,432,288,N,1,290,52216,52506,MIT_BIH_ECG
0180.jpg,432,288,N,1,278,52506,52784,MIT_BIH_ECG
0181.jpg,432,288,N,1,279,52784,53063,MIT_BIH_ECG
0182.jpg,432,288,N,1,278,53063,53341,MIT_BIH_ECG
0183.jpg,432,288,N,1,290,53341,53631,MIT_BIH_ECG
0184.jpg,432,288,N,1,292,53631,53923,MIT_BIH_ECG
0185.jpg,432,288,N,1,296,53923,54219,MIT_BIH_ECG
0186.jpg,432,288,N,1,288,54219,54507,MIT_BIH_ECG
0187.jpg,432,288,N,1,277,54507,54784,MIT_BIH_ECG
0188.jpg,432,288,N,1,280,54784,55064,MIT_BIH_ECG
0189.jpg,432,288,N,1,279,55064,55343,MIT_BIH_ECG
0190.jpg,432,288,N,1,282,55343,55625,MIT_BIH_ECG
0191.jpg,432,288,N,1,283,55625,55908,MIT_BIH_ECG
0192.jpg,432,288,N,1,299,55908,56207,MIT_BIH_ECG
